scores,steps,episode
-10.0,190,1
-10.0,376,2
-10.0,422,3
-10.0,462,4
-10.0,497,5
-10.0,548,6
-10.0,583,7
-10.0,624,8
-10.0,673,9
-10.0,700,10
-10.0,739,11
-10.0,767,12
-10.0,797,13
-10.0,826,14
-10.0,857,15
-10.0,893,16
-10.0,927,17
-10.0,958,18
-10.0,983,19
-10.0,1006,20
-10.0,1041,21
-10.0,1076,22
-10.0,1099,23
-10.0,1120,24
-10.0,1147,25
-10.0,1170,26
-10.0,1192,27
-10.0,1224,28
-10.0,1248,29
-10.0,1272,30
-10.0,1295,31
-10.0,1318,32
-10.0,1343,33
-10.0,1364,34
100.0,1370,35
-10.0,1402,36
-10.0,1423,37
-10.0,1450,38
-10.0,1480,39
-10.0,1506,40
-10.0,1545,41
-10.0,1602,42
-10.0,1636,43
100.0,1638,44
-10.0,1673,45
-10.0,1710,46
-10.0,1737,47
-10.0,1768,48
-10.0,1793,49
-10.0,1822,50
-10.0,1849,51
-10.0,1878,52
-10.0,1905,53
-10.0,1926,54
-10.0,1947,55
-10.0,1976,56
-10.0,1997,57
-10.0,2018,58
-10.0,2039,59
-10.0,2064,60
-10.0,2087,61
-10.0,2113,62
-10.0,2137,63
100.0,2139,64
-10.0,2165,65
-10.0,2188,66
-10.0,2211,67
-10.0,2232,68
-10.0,2253,69
-10.0,2276,70
-10.0,2299,71
-10.0,2318,72
-10.0,2340,73
-10.0,2362,74
-10.0,2384,75
-10.0,2406,76
-10.0,2429,77
-10.0,2448,78
-10.0,2471,79
-10.0,2494,80
-10.0,2513,81
-10.0,2536,82
-10.0,2559,83
-10.0,2580,84
-10.0,2601,85
-10.0,2626,86
-10.0,2652,87
-10.0,2674,88
-10.0,2695,89
-10.0,2717,90
-10.0,2744,91
-10.0,2766,92
-10.0,2795,93
-10.0,2818,94
-10.0,2839,95
-10.0,2860,96
-10.0,2883,97
-10.0,2916,98
-10.0,2937,99
-10.0,2968,100
-10.0,2989,101
-10.0,3020,102
-10.0,3051,103
-10.0,3079,104
-10.0,3101,105
-10.0,3128,106
-10.0,3157,107
-10.0,3180,108
-10.0,3203,109
-10.0,3228,110
-10.0,3253,111
-10.0,3284,112
-10.0,3305,113
-10.0,3330,114
-10.0,3351,115
-10.0,3374,116
-10.0,3395,117
-10.0,3416,118
-10.0,3437,119
-10.0,3463,120
-10.0,3493,121
100.0,3500,122
-10.0,3535,123
-10.0,3556,124
-10.0,3579,125
-10.0,3608,126
100.0,3613,127
-10.0,3640,128
-10.0,3663,129
-10.0,3686,130
-10.0,3711,131
-10.0,3734,132
-10.0,3761,133
100.0,3770,134
-10.0,3805,135
-10.0,3838,136
100.0,3843,137
-10.0,3880,138
-10.0,3903,139
-10.0,3930,140
-10.0,3955,141
-10.0,3984,142
-10.0,4064,143
-10.0,4094,144
100.0,4159,145
100.0,4194,146
100.0,4217,147
100.0,4224,148
-10.0,4295,149
-10.0,4334,150
-10.0,4373,151
-10.0,4404,152
-10.0,4431,153
-10.0,4466,154
-10.0,4507,155
100.0,4514,156
100.0,4516,157
100.0,4528,158
-10.0,4575,159
-10.0,4606,160
-10.0,4698,161
-10.0,4742,162
-10.0,4775,163
-10.0,4814,164
-10.0,4855,165
-10.0,4890,166
100.0,4892,167
-10.0,4926,168
100.0,4999,169
-10.0,5034,170
-10.0,5119,171
100.0,5147,172
100.0,5184,173
-10.0,5334,174
-10.0,5541,175
-10.0,5584,176
100.0,5627,177
-10.0,5668,178
100.0,5874,179
100.0,5998,180
-10.0,6241,181
100.0,6384,182
100.0,6599,183
-10.0,6704,184
100.0,6933,185
-10.0,7072,186
100.0,7265,187
100.0,7294,188
100.0,7315,189
100.0,7382,190
100.0,7651,191
-10.0,7808,192
-10.0,8109,193
100.0,8111,194
-10.0,8286,195
-10.0,8578,196
100.0,8587,197
100.0,8656,198
100.0,8685,199
-10.0,8986,200
